Driver,LapTime_FP1,Compound_FP1,SpeedST_FP1,SpeedFL_FP1,SpeedI1_FP1,SpeedI2_FP1,LongestStintCompound_FP1,LongestStintLaps_FP1,AvgLapTime_LongestStint_FP1,Delta_FirstLastLap_FP1,InvalidLaps_LongestStint_FP1,AvgTyreLife_LongestStint_FP1,StartTyreLife_LongestStint_FP1,AvgAirTemp_LongestStint_FP1,AvgTrackTemp_LongestStint_FP1,AvgWindSpeed_LongestStint_FP1,AvgWindDirection_LongestStint_FP1,AvgHumidity_LongestStint_FP1,AvgPressure_LongestStint_FP1,AirTemp_FastestLap_FP1,TrackTemp_FastestLap_FP1,WindSpeed_FastestLap_FP1,WindDirection_FastestLap_FP1,Humidity_FastestLap_FP1,Pressure_FastestLap_FP1,LapTime_FP2,Compound_FP2,SpeedST_FP2,SpeedFL_FP2,SpeedI1_FP2,SpeedI2_FP2,LongestStintCompound_FP2,LongestStintLaps_FP2,AvgLapTime_LongestStint_FP2,Delta_FirstLastLap_FP2,InvalidLaps_LongestStint_FP2,AvgTyreLife_LongestStint_FP2,StartTyreLife_LongestStint_FP2,AvgAirTemp_LongestStint_FP2,AvgTrackTemp_LongestStint_FP2,AvgWindSpeed_LongestStint_FP2,AvgWindDirection_LongestStint_FP2,AvgHumidity_LongestStint_FP2,AvgPressure_LongestStint_FP2,AirTemp_FastestLap_FP2,TrackTemp_FastestLap_FP2,WindSpeed_FastestLap_FP2,WindDirection_FastestLap_FP2,Humidity_FastestLap_FP2,Pressure_FastestLap_FP2,LapTime_FP3,Compound_FP3,SpeedST_FP3,SpeedFL_FP3,SpeedI1_FP3,SpeedI2_FP3,LongestStintCompound_FP3,LongestStintLaps_FP3,AvgLapTime_LongestStint_FP3,Delta_FirstLastLap_FP3,InvalidLaps_LongestStint_FP3,AvgTyreLife_LongestStint_FP3,StartTyreLife_LongestStint_FP3,AvgAirTemp_LongestStint_FP3,AvgTrackTemp_LongestStint_FP3,AvgWindSpeed_LongestStint_FP3,AvgWindDirection_LongestStint_FP3,AvgHumidity_LongestStint_FP3,AvgPressure_LongestStint_FP3,AirTemp_FastestLap_FP3,TrackTemp_FastestLap_FP3,WindSpeed_FastestLap_FP3,WindDirection_FastestLap_FP3,Humidity_FastestLap_FP3,Pressure_FastestLap_FP3,Q1_FastestLap,Q2_FastestLap,Q3_FastestLap,QualifyingPosition,Q1_TopSpeedST,Q1_AirTemp,Q1_TrackTemp,Q1_WindSpeed,Q1_WindDirection,Q1_Humidity,Q1_Pressure,Q2_TopSpeedST,Q2_AirTemp,Q2_TrackTemp,Q2_WindSpeed,Q2_WindDirection,Q2_Humidity,Q2_Pressure,Q3_TopSpeedST,Q3_AirTemp,Q3_TrackTemp,Q3_WindSpeed,Q3_WindDirection,Q3_Humidity,Q3_Pressure,TotalRaceTime,RacePosition
HUL,0 days 00:01:30.023000,MEDIUM,302.0,271.0,277.0,302.0,MEDIUM,8.0,0 days 00:01:44.117571428,,0.0,12.5,9.0,13.9375,36.875,4.475,289.75,40.375,1011.525,13.5,36.5,4.6,292.0,43.0,1011.5,0 days 00:01:29.062000,HARD,305.0,273.0,279.0,307.0,HARD,4.0,0 days 00:01:30.847000,,0.0,2.5,1.0,13.85,33.75,5.325,288.25,42.75,1010.6,13.5,31.2,5.0,287.0,42.0,1010.6,0 days 00:01:30.621000,MEDIUM,291.0,266.0,285.0,295.0,MEDIUM,9.0,0 days 00:01:34.637625,,0.0,11.0,7.0,14.266666666666667,38.9,3.411111111111111,155.88888888888889,38.333333333333336,1014.922222222222,14.3,39.2,4.1,155.0,38.0,1015.1,0 days 00:01:28.570000,,,16.0,297.0,14.8,33.9,2.1,129.0,59.0,1013.4,,,,,,,,,,,,,,,0 days 00:01:21.957000,16.0
LAW,0 days 00:01:29.536000,HARD,304.0,271.0,280.0,306.0,SOFT,9.0,0 days 00:01:43.714750,,0.0,5.0,1.0,13.877777777777776,36.83333333333334,4.5,290.77777777777777,40.666666666666664,1011.5222222222224,13.6,36.5,4.1,295.0,42.0,1011.6,0 days 00:01:28.559000,MEDIUM,306.0,272.0,279.0,309.0,MEDIUM,4.0,0 days 00:01:57.013000,,0.0,2.5,1.0,13.85,33.775,5.1,288.0,42.5,1010.55,13.5,31.4,4.2,284.0,42.0,1010.6,0 days 00:01:29.104000,MEDIUM,297.0,272.0,287.0,298.0,MEDIUM,10.0,0 days 00:01:36.593222222,,0.0,11.5,7.0,14.27,38.879999999999995,3.47,157.1,38.3,1014.93,14.5,39.1,1.2,155.0,34.0,1014.9,0 days 00:01:28.554000,0 days 00:01:27.906000,,14.0,296.0,14.8,33.9,2.1,129.0,59.0,1013.4,296.0,14.6,30.8,3.5,144.0,60.0,1013.3,,,,,,,,0 days 00:01:22.734000,17.0
LEC,0 days 00:01:28.965000,MEDIUM,305.0,271.0,278.0,305.0,MEDIUM,12.0,0 days 00:01:38.720200,,0.0,15.5,10.0,13.775,36.74166666666667,4.7749999999999995,288.9166666666667,40.916666666666664,1011.5583333333334,13.8,36.2,5.2,289.0,42.0,1011.8,0 days 00:01:28.586000,HARD,306.0,273.0,281.0,308.0,HARD,4.0,0 days 00:01:55.851500,,0.0,2.5,1.0,13.85,33.775,5.375,285.5,42.75,1010.575,13.4,30.7,5.2,291.0,42.0,1010.6,0 days 00:01:28.414000,SOFT,300.0,270.0,290.0,300.0,SOFT,3.0,0 days 00:01:29.107000,,0.0,2.0,1.0,14.133333333333336,39.16666666666667,3.766666666666667,154.66666666666666,38.333333333333336,1015.1,14.4,39.0,2.9,154.0,38.0,1015.0,0 days 00:01:27.920000,0 days 00:01:27.555000,0 days 00:01:27.299000,4.0,296.0,14.7,33.9,2.4,152.0,58.0,1013.3,296.0,14.6,30.6,3.7,151.0,60.0,1013.3,295.0,14.4,29.4,4.4,150.0,60.0,1013.2,0 days 00:00:16.097000,4.0
NOR,0 days 00:01:28.549000,MEDIUM,307.0,272.0,278.0,306.0,MEDIUM,10.0,0 days 00:01:38.190875,,0.0,14.5,10.0,13.82,36.790000000000006,4.51,292.1,40.7,1011.59,13.5,36.6,5.5,284.0,42.0,1011.8,0 days 00:01:28.163000,SOFT,308.0,275.0,278.0,309.0,SOFT,4.0,0 days 00:01:35.830500,,0.0,6.5,5.0,13.325,30.6,5.3999999999999995,283.5,41.75,1010.675,13.5,31.2,5.0,287.0,42.0,1010.6,0 days 00:01:27.965000,SOFT,298.0,268.0,287.0,300.0,SOFT,10.0,0 days 00:01:43.101333333,,0.0,5.5,1.0,14.29,39.04,3.47,154.6,38.1,1015.02,14.5,39.1,1.2,155.0,34.0,1014.9,0 days 00:01:27.845000,0 days 00:01:27.146000,0 days 00:01:26.995000,2.0,299.0,14.7,33.9,2.7,120.0,58.0,1013.4,298.0,14.8,32.5,3.9,124.0,59.0,1013.4,295.0,14.4,28.7,3.6,149.0,60.0,1013.2,0 days 00:00:01.423000,2.0
OCO,0 days 00:01:30.123000,MEDIUM,303.0,270.0,277.0,304.0,MEDIUM,9.0,0 days 00:01:47.063000,,0.0,5.0,1.0,13.622222222222224,35.58888888888889,4.755555555555556,290.6666666666667,41.111111111111114,1011.8888888888888,14.1,37.0,3.7,285.0,39.0,1011.5,0 days 00:01:29.507000,MEDIUM,307.0,272.0,278.0,309.0,MEDIUM,4.0,0 days 00:01:58.388500,,0.0,2.5,1.0,13.85,33.75,5.325,288.25,42.75,1010.6,13.5,31.4,4.2,284.0,42.0,1010.6,0 days 00:01:30.183000,HARD,295.0,269.0,286.0,297.0,HARD,9.0,0 days 00:01:35.150625,,0.0,10.0,6.0,14.233333333333333,38.87777777777777,3.644444444444445,152.11111111111111,38.44444444444444,1014.9444444444443,14.1,39.2,2.9,155.0,39.0,1015.1,0 days 00:01:28.696000,,,18.0,295.0,14.9,33.7,3.8,149.0,57.0,1013.2,,,,,,,,,,,,,,,0 days 00:01:23.438000,18.0
PIA,0 days 00:01:29.708000,MEDIUM,302.0,273.0,279.0,305.0,MEDIUM,12.0,0 days 00:01:41.115090909,,0.0,13.5,8.0,13.766666666666667,36.74166666666667,4.975,288.6666666666667,41.0,1011.5666666666666,13.6,36.4,3.7,334.0,42.0,1011.8,0 days 00:01:28.114000,HARD,307.0,274.0,280.0,309.0,SOFT,4.0,0 days 00:01:55.180000,,0.0,5.5,4.0,13.325,30.6,5.3999999999999995,283.5,41.75,1010.675,13.3,30.7,5.5,275.0,42.0,1010.6,0 days 00:01:27.991000,SOFT,297.0,272.0,289.0,298.0,SOFT,10.0,0 days 00:01:42.851888888,,0.0,5.5,1.0,14.29,38.98,3.61,155.5,38.1,1015.03,14.2,39.2,3.6,167.0,36.0,1014.9,0 days 00:01:27.687000,0 days 00:01:27.507000,0 days 00:01:27.027000,3.0,295.0,14.8,33.7,3.8,149.0,57.0,1013.2,296.0,14.6,30.7,3.4,126.0,60.0,1013.3,294.0,14.4,28.8,3.2,121.0,61.0,1013.2,0 days 00:00:02.129000,3.0
RUS,0 days 00:01:28.712000,MEDIUM,305.0,273.0,281.0,308.0,MEDIUM,14.0,0 days 00:01:42.592153846,,0.0,16.5,10.0,13.764285714285716,36.7,5.014285714285714,288.0,40.714285714285715,1011.5642857142858,13.6,36.4,3.7,334.0,42.0,1011.8,0 days 00:01:28.567000,HARD,308.0,273.0,280.0,308.0,HARD,4.0,0 days 00:01:32.705666666,,0.0,7.5,6.0,13.35,30.625,5.4,287.5,42.0,1010.7,13.5,31.4,4.2,284.0,42.0,1010.6,0 days 00:01:28.077000,SOFT,295.0,271.0,288.0,301.0,SOFT,4.0,0 days 00:01:57.287000,,0.0,2.5,1.0,14.4,38.95,2.175,122.75,35.5,1014.9,14.3,38.7,1.3,169.0,37.0,1014.8,0 days 00:01:27.843000,0 days 00:01:27.400000,0 days 00:01:27.318000,5.0,297.0,14.8,33.7,3.8,149.0,57.0,1013.2,298.0,14.7,32.1,2.5,121.0,59.0,1013.3,297.0,14.5,29.5,3.2,156.0,60.0,1013.3,0 days 00:00:17.362000,5.0
SAI,0 days 00:01:29.333000,MEDIUM,305.0,275.0,281.0,309.0,SOFT,8.0,0 days 00:01:48.245428571,,0.0,13.5,10.0,13.925,36.85,4.4875,289.375,40.5,1011.5125,13.6,36.5,4.5,289.0,41.0,1011.7,0 days 00:01:28.832000,SOFT,306.0,272.0,279.0,308.0,SOFT,3.0,0 days 00:01:29.373000,,0.0,4.0,3.0,13.5,31.333333333333332,5.1000000000000005,294.6666666666667,41.666666666666664,1010.6,13.3,30.6,5.7,286.0,42.0,1010.7,0 days 00:01:28.846000,HARD,298.0,271.0,287.0,300.0,HARD,8.0,0 days 00:01:32.049857142,,0.0,15.5,12.0,14.2875,38.837500000000006,3.6625,157.25,38.375,1014.95,14.2,38.9,1.2,0.0,36.0,1014.9,0 days 00:01:28.209000,0 days 00:01:27.836000,,12.0,296.0,14.9,33.7,3.8,149.0,57.0,1013.2,298.0,14.6,30.7,3.4,126.0,60.0,1013.3,,,,,,,,0 days 00:01:14.129000,14.0
STR,0 days 00:01:29.758000,HARD,305.0,274.0,278.0,306.0,HARD,7.0,0 days 00:01:59.705333333,,0.0,4.0,1.0,13.628571428571428,35.57142857142858,3.9857142857142858,295.7142857142857,41.42857142857143,1011.9,13.8,36.4,4.3,283.0,40.0,1011.7,0 days 00:01:30.845000,MEDIUM,303.0,273.0,278.0,304.0,SOFT,4.0,0 days 00:01:32.946500,,0.0,7.5,6.0,13.325,30.6,5.3999999999999995,283.5,41.75,1010.675,13.9,33.7,5.4,292.0,42.0,1010.5,0 days 00:01:30.267000,MEDIUM,295.0,267.0,284.0,297.0,MEDIUM,8.0,0 days 00:01:55.023857142,,0.0,9.5,6.0,14.175,38.900000000000006,3.2375,153.375,38.875,1014.95,14.4,39.0,3.4,156.0,39.0,1014.9,0 days 00:01:29.271000,,,20.0,295.0,14.7,34.0,3.1,154.0,58.0,1013.4,,,,,,,,,,,,,,,0 days 00:00:12.929000,20.0
TSU,0 days 00:01:29.172000,SOFT,303.0,270.0,282.0,304.0,SOFT,10.0,0 days 00:01:41.559625,,0.0,11.5,7.0,13.820000000000002,36.8,4.65,294.0,40.8,1011.5800000000002,13.6,36.1,3.8,288.0,42.0,1011.7,0 days 00:01:30.625000,MEDIUM,302.0,270.0,277.0,303.0,MEDIUM,4.0,0 days 00:01:30.625000,,0.0,2.5,1.0,13.85,33.775,5.375,285.5,42.75,1010.575,13.9,33.8,5.0,285.0,42.0,1010.6,0 days 00:01:28.785000,HARD,292.0,269.0,286.0,294.0,HARD,3.0,0 days 00:01:31.630000,,0.0,2.0,1.0,14.066666666666668,37.93333333333333,3.033333333333333,149.0,39.333333333333336,1015.3,14.0,38.9,1.7,109.0,39.0,1015.0,0 days 00:01:27.967000,0 days 00:01:28,,15.0,296.0,14.8,33.7,3.8,149.0,57.0,1013.2,292.0,14.6,31.0,3.8,149.0,60.0,1013.3,,,,,,,,0 days 00:00:58.401000,12.0
VER,0 days 00:01:29.065000,SOFT,305.0,270.0,280.0,305.0,SOFT,12.0,0 days 00:01:43.069090909,,0.0,9.5,4.0,13.750000000000002,36.766666666666666,5.041666666666667,289.8333333333333,40.833333333333336,1011.5916666666668,13.8,36.2,5.2,289.0,42.0,1011.8,0 days 00:01:28.670000,SOFT,308.0,269.0,279.0,306.0,SOFT,3.0,0 days 00:01:28.670000,,0.0,3.0,2.0,13.533333333333331,31.46666666666667,4.666666666666667,286.6666666666667,42.0,1010.5333333333332,13.5,31.4,4.2,284.0,42.0,1010.6,0 days 00:01:28.497000,HARD,291.0,269.0,285.0,295.0,HARD,11.0,0 days 00:01:34.927800,,0.0,10.0,5.0,14.29090909090909,38.97272727272727,3.590909090909091,151.54545454545453,37.81818181818182,1015.0,14.6,39.0,2.1,151.0,33.0,1014.8,0 days 00:01:27.943000,0 days 00:01:27.502000,0 days 00:01:26.983000,1.0,297.0,14.8,33.7,3.8,149.0,57.0,1013.2,299.0,14.8,32.5,3.9,124.0,59.0,1013.4,295.0,14.4,28.8,3.2,121.0,61.0,1013.2,0 days 01:22:06.983000,1.0
